,time,induksi
0,2024-07-23 16:47:52.043062+00:00,-0.1038374
1,2024-07-23 16:47:52.043082+00:00,-0.03069207
2,2024-07-23 16:47:52.043102+00:00,-0.2403753
3,2024-07-23 16:47:52.043122+00:00,-0.3795139
4,2024-07-23 16:47:52.043142+00:00,-0.7663713
5,2024-07-23 16:47:52.043162+00:00,-1.494573
6,2024-07-23 16:47:52.043182+00:00,-3.51696
7,2024-07-23 16:47:52.043202+00:00,-10.64716
8,2024-07-23 16:47:52.043222+00:00,-5.638824
9,2024-07-23 16:47:52.043242+00:00,-8.311391
10,2024-07-23 16:47:52.043262+00:00,-0.3551321
11,2024-07-23 16:47:52.043282+00:00,-8.961897
12,2024-07-23 16:47:52.043302+00:00,-2.765351
13,2024-07-23 16:47:52.043322+00:00,-3.428535
14,2024-07-23 16:47:52.043342+00:00,-9.290238
15,2024-07-23 16:47:52.043362+00:00,2.180897
16,2024-07-23 16:47:52.043382+00:00,-8.819832
17,2024-07-23 16:47:52.043402+00:00,-2.190592
18,2024-07-23 16:47:52.043422+00:00,-5.877115
19,2024-07-23 16:47:52.043442+00:00,-3.795887
20,2024-07-23 16:47:52.043462+00:00,-5.793567
21,2024-07-23 16:47:52.043482+00:00,-10.64716
22,2024-07-23 16:47:52.043502+00:00,-2.871981
23,2024-07-23 16:47:52.043522+00:00,-10.64716
24,2024-07-23 16:47:52.043542+00:00,-4.554648
25,2024-07-23 16:47:52.043562+00:00,-5.277324
26,2024-07-23 16:47:52.043582+00:00,-7.437548
27,2024-07-23 16:47:52.043602+00:00,-6.371577
28,2024-07-23 16:47:52.043622+00:00,-7.606595
29,2024-07-23 16:47:52.043642+00:00,1.318758
30,2024-07-23 16:47:52.043662+00:00,-5.916126
31,2024-07-23 16:47:52.043682+00:00,-0.8398417
32,2024-07-23 16:47:52.043702+00:00,-0.8915311
33,2024-07-23 16:47:52.043722+00:00,-1.965304
34,2024-07-23 16:47:52.043742+00:00,-1.437032
35,2024-07-23 16:47:52.043762+00:00,-2.305349
36,2024-07-23 16:47:52.043782+00:00,1.619791
37,2024-07-23 16:47:52.043802+00:00,-3.431786
38,2024-07-23 16:47:52.043822+00:00,-0.4695639
39,2024-07-23 16:47:52.043842+00:00,0.9208471
40,2024-07-23 16:47:52.043862+00:00,0.2810695
41,2024-07-23 16:47:52.043882+00:00,0.08861605
42,2024-07-23 16:47:52.043902+00:00,0.9520558
43,2024-07-23 16:47:52.043922+00:00,3.682814
44,2024-07-23 16:47:52.043942+00:00,-1.486771
45,2024-07-23 16:47:52.043962+00:00,-1.729614
46,2024-07-23 16:47:52.043982+00:00,-1.728638
47,2024-07-23 16:47:52.044002+00:00,-3.061834
48,2024-07-23 16:47:52.044022+00:00,-4.049458
49,2024-07-23 16:47:52.044042+00:00,-3.205198
50,2024-07-23 16:47:52.044062+00:00,-1.223123
51,2024-07-23 16:47:52.044082+00:00,-5.098524
52,2024-07-23 16:47:52.044102+00:00,-3.148958
53,2024-07-23 16:47:52.044122+00:00,1.04048
54,2024-07-23 16:47:52.044142+00:00,5.099232
55,2024-07-23 16:47:52.044162+00:00,0.6731283
56,2024-07-23 16:47:52.044182+00:00,-3.495829
57,2024-07-23 16:47:52.044202+00:00,0.2771684
58,2024-07-23 16:47:52.044222+00:00,0.430611
59,2024-07-23 16:47:52.044242+00:00,2.783289
60,2024-07-23 16:47:52.044262+00:00,-1.820964
61,2024-07-23 16:47:52.044282+00:00,-1.322601
62,2024-07-23 16:47:52.044302+00:00,-0.2699585
63,2024-07-23 16:47:52.044322+00:00,-1.668822
64,2024-07-23 16:47:52.044342+00:00,0.9676601
